Countrycode,Seriescode,Description
ABW,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
ABW,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
ABW,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
ABW,SM.POP.NETM,Data sources : United Nations World Population Prospects
ABW,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
ABW,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
ABW,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
ABW,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.LE00.IN,Derived using male and female life expectancy
ABW,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ABW,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ABW,SP.POP.GROW,Data sources: United Nations World Population Prospects
ABW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ADO,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside.
ADO,SP.DYN.CBRT.IN,Data sources : Eurostat
ADO,SP.DYN.CDRT.IN,Data sources : Eurostat
ADO,SP.DYN.TFRT.IN,Data sources : Eurostat
ADO,SP.POP.GROW,Data sources: United Nations World Population Prospects
ADO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AFG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2014 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief.
AFG,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
AFG,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
AFG,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
AFG,NE.CON.PRVT.PP.CD,Estimates are based on regression.
